# Covid-19 Scneario Input File  
# Authors: J
# Date: June 02, 2020
# number of scenario
384	
384
384
384
384
384
384	
 # scenario parameter prob, m, b, e for community 1
5e-05	2.2868	0.4	0.95	0.34	1.155	1.73	1.2	1	0.6
5e-05	2.2868	0.4	0.95	0.34	1.155	1.73	1.3	1	0.6
5e-05	2.2868	0.4	0.95	0.49	1.155	1.39	1.2	1	0.6
5e-05	2.2868	0.4	0.95	0.49	1.155	1.39	1.3	1	0.6
7.5e-05	2.2868	0.4	0.9	0.34	1.155	1.73	1.2	1	0.6
7.5e-05	2.2868	0.4	0.9	0.34	1.155	1.73	1.3	1	0.6
7.5e-05	2.2868	0.4	0.9	0.49	1.155	1.39	1.2	1	0.6
7.5e-05	2.2868	0.4	0.9	0.49	1.155	1.39	1.3	1	0.6
8.75e-05	2.2868	0.4	0.8	0.34	1.155	1.73	1.2	1	0.6
8.75e-05	2.2868	0.4	0.8	0.34	1.155	1.73	1.3	1	0.6
8.75e-05	2.2868	0.4	0.8	0.49	1.155	1.39	1.2	1	0.6
8.75e-05	2.2868	0.4	0.8	0.49	1.155	1.39	1.3	1	0.6
3.75e-05	2.2868	0.4	0.6	0.34	1.155	1.73	1.2	1	0.6
3.75e-05	2.2868	0.4	0.6	0.34	1.155	1.73	1.3	1	0.6
3.75e-05	2.2868	0.4	0.6	0.49	1.155	1.39	1.2	1	0.6
3.75e-05	2.2868	0.4	0.6	0.49	1.155	1.39	1.3	1	0.6
0.0002	2.2868	0.3	0.95	0.34	1.155	1.73	1.2	1	0.6
0.0002	2.2868	0.3	0.95	0.34	1.155	1.73	1.3	1	0.6
0.0002	2.2868	0.3	0.95	0.49	1.155	1.39	1.2	1	0.6
0.0002	2.2868	0.3	0.95	0.49	1.155	1.39	1.3	1	0.6
0.0003	2.2868	0.3	0.9	0.34	1.155	1.73	1.2	1	0.6
0.0003	2.2868	0.3	0.9	0.34	1.155	1.73	1.3	1	0.6
0.0003	2.2868	0.3	0.9	0.49	1.155	1.39	1.2	1	0.6
0.0003	2.2868	0.3	0.9	0.49	1.155	1.39	1.3	1	0.6
0.00035	2.2868	0.3	0.8	0.34	1.155	1.73	1.2	1	0.6
0.00035	2.2868	0.3	0.8	0.34	1.155	1.73	1.3	1	0.6
0.00035	2.2868	0.3	0.8	0.49	1.155	1.39	1.2	1	0.6
0.00035	2.2868	0.3	0.8	0.49	1.155	1.39	1.3	1	0.6
0.00015	2.2868	0.3	0.6	0.34	1.155	1.73	1.2	1	0.6
